Bois_de_chene;MATIERES_PREMIERES
Planches_de_chene; , , / , , / , ,Bois_de_chene;4
stick; , , /Planches_de_chene, , /Planches_de_chene, , ;1
Toile_araignee;MATIERES_PREMIERES
string; , , / ,Toile_araignee, / , , ;9
Laine_blanche; , , /string,string, /string,string, ;1
Canne_a_peche; , ,stick/ ,stick,string/stick, ,string;1;OUTILS
bow;Laine_blanche,stick, /Laine_blanche, ,stick/Laine_blanche,stick, ;1;ARMES
carrot;NOURRITURE
carrot_on_a_stick; , , / ,Canne_a_peche, / , ,carrot;1;OUTILS
iron_ingot; , , / , , / , ,Bloc_de_fer;9;MATIERES_PREMIERES
Bloc_de_fer;iron_ingot,iron_ingot,iron_ingot/iron_ingot,iron_ingot,iron_ingot/iron_ingot,iron_ingot,iron_ingot;1
iron_boots; , , /iron_ingot, ,iron_ingot/iron_ingot, ,iron_ingot;1;ARMURES
iron_chestplate;iron_ingot, ,iron_ingot/iron_ingot,iron_ingot,iron_ingot/iron_ingot,iron_ingot,iron_ingot;1;ARMURES
iron_leggings;iron_ingot,iron_ingot,iron_ingot/iron_ingot, ,iron_ingot/iron_ingot, ,iron_ingot;1;ARMURES
iron_helmet; , , /iron_ingot,iron_ingot,iron_ingot/iron_ingot, ,iron_ingot;1;ARMURES
iron_door;iron_ingot,iron_ingot, /iron_ingot,iron_ingot, /iron_ingot,iron_ingot, ;3;REDSTONE
iron_axe;iron_ingot,iron_ingot, /iron_ingot,stick, / ,stick, ;1;OUTILS
iron_hoe;iron_ingot,iron_ingot, / ,stick, / ,stick, ;1;OUTILS
iron_shovel; ,iron_ingot, / ,stick, / ,stick, ;1;OUTILS
iron_pickaxe;iron_ingot,iron_ingot,iron_ingot/ ,stick, / ,stick, ;1;OUTILS
iron_sword; ,iron_ingot, / ,iron_ingot, / ,stick, ;1;ARMES
bucket; , , /iron_ingot, ,iron_ingot/ ,iron_ingot, ;1;OUTILS
